Type,Month-year,Canada,Atlantic Region,Newfoundland and Labrador,PrinceoEdwardoIsland,Nova Scotia,NewoBrunswick,Quebec,"QuebecoCity,oQuebec","Sherbrooke,oQuebec","Trois-Rivieres,oQuebec","Montreal,oQuebec","Ottawa-Gatineau,oQuebecopart",Ontarioo,"Ottawa-Gatineau,oOntarioopart","Oshawa,oOntarioo","Toronto,oOntario","Hamilton,oOntario","St.oCatharines-Niagara,oOntario","Kitchener-Cambridge-Waterloo,oOntario","Guelph,oOntario","London,oOntario","Windsor,oOntario","GreateroSudbury,oOntarioo12",PrairieoRegion,Manitoba,Saskatchewan,Alberta,BritishoColumbiao,"Kelowna,oBritishoColumbia","Vancouver,oBritishoColumbia","Victoria,oBritishoColumbia",AVEARAGEB,date,year,month
Houseoonly,Jan-81,36.1,0,0,0,0,0,0,34.9,0,0,30,0,0,30.8,0,22.6,24.8,28.3,30.4,0,27,64.9,54.6,0,0,0,0,0,0,96.1,206.8,,01/01/1981,1981,1
Houseoonly,Feb-81,36.5,0,0,0,0,0,0,35.4,0,0,30.2,0,0,30.8,0,23.2,24.9,28.6,30.5,0,27.5,64.9,55.6,0,0,0,0,0,0,97.5,209.1,,01/02/1981,1981,2
Houseoonly,Mar-81,37.3,0,0,0,0,0,0,35.4,0,0,30.5,0,0,31.9,0,24.8,25.3,28.6,30.7,0,28.2,64.1,55.6,0,0,0,0,0,0,97.5,210.6,,01/03/1981,1981,3
Houseoonly,Apr-81,38.1,0,0,0,0,0,0,35.7,0,0,30.8,0,0,32,0,26.5,25.6,28.6,31.1,0,28.6,63.9,57,0,0,0,0,0,0,97.7,210.6,,01/04/1981,1981,4
Houseoonly,May-81,38.9,0,0,0,0,0,0,36.1,0,0,31.1,0,0,32.7,0,27.7,26.4,28.9,31.1,0,28.6,63.9,57,0,0,0,0,0,0,97.7,212.4,,01/05/1981,1981,5
Houseoonly,Jun-81,39.1,0,0,0,0,0,0,36.1,0,0,31.5,0,0,33.5,0,27.7,26.6,29.2,31.4,0,29.1,63.9,57.2,0,0,0,0,0,0,98.2,210.6,,01/06/1981,1981,6
Houseoonly,Jul-81,39.2,0,0,0,0,0,0,36.2,0,0,31.7,0,0,33.5,0,27.7,26.6,29.2,31.4,0,29.7,63.9,57.2,0,0,0,0,0,0,97.7,206.2,,01/07/1981,1981,7
Houseoonly,Aug-81,39,0,0,0,0,0,0,36.6,0,0,31.7,0,0,33.9,0,28,26.7,29.2,31.4,0,29.7,63.9,57.5,0,0,0,0,0,0,89.8,206.2,,01/08/1981,1981,8
Houseoonly,Sep-81,39,0,0,0,0,0,0,36.6,0,0,32.1,0,0,33.9,0,28.1,26.7,29.2,31.6,0,29.7,60.8,57.5,0,0,0,0,0,0,89.3,200.8,,01/09/1981,1981,9
Houseoonly,Oct-81,38.8,0,0,0,0,0,0,36.6,0,0,32.4,0,0,33.9,0,28.1,26.7,29.2,31.7,0,29.7,60.8,57.5,0,0,0,0,0,0,85.2,200.6,,01/10/1981,1981,10
Houseoonly,Nov-81,38.8,0,0,0,0,0,0,36.8,0,0,32.7,0,0,35.2,0,28.1,26.7,29.2,32,0,29.7,60.8,58.6,0,0,0,0,0,0,81.1,198.5,,01/11/1981,1981,11
Houseoonly,Dec-81,38.9,0,0,0,0,0,0,36.8,0,0,33.1,0,0,35.2,0,28.1,26.7,29.2,32,0,29.7,60.8,58.6,0,0,0,0,0,0,80.2,204.2,,01/12/1981,1981,12
Houseoonly,Jan-82,39.1,0,0,0,0,0,0,37.3,0,0,33.6,0,0,36,0,28.2,26.7,29.2,32,0,29.7,60.8,58.6,0,0,0,0,0,0,79.6,204.2,,01/01/1982,1982,1
Houseoonly,Feb-82,38.9,0,0,0,0,0,0,37.8,0,0,33.5,0,0,36.2,0,28,27,29.2,32,0,29.7,60.8,59.1,0,0,0,0,0,0,78,193.1,,01/02/1982,1982,2
Houseoonly,Mar-82,38.6,0,0,0,0,0,0,37.8,0,0,33.5,0,0,36.1,0,28,27,29.2,32,0,29.7,60.8,59.4,0,0,0,0,0,0,73.2,184.9,,01/03/1982,1982,3
Houseoonly,Apr-82,38.5,0,0,0,0,0,0,37.9,0,0,33.5,0,0,36.3,0,28,27,29.2,32,0,29.7,60.8,58.4,0,0,0,0,0,0,72.6,180.1,,01/04/1982,1982,4
Houseoonly,May-82,38.1,0,0,0,0,0,0,38,0,0,33.5,0,0,36.3,0,27.9,27,29.2,32.5,0,29.7,58.7,58.9,0,0,0,0,0,0,70.7,181.6,,01/05/1982,1982,5
Houseoonly,Sep-82,37.6,0,0,0,0,0,0,38.9,0,0,34,0,0,36.3,0,27.1,29.2,29.6,32.9,0,29.7,58.2,59.5,0,0,0,0,0,0,73.1,186.7,,01/09/1982,1982,9
